Должность,Зарплата,Компания,Ссылка,ЗП_От,ЗП_До,Валюта,ЗП_Средняя
SEO-специалист / SEO-аналитик,"от 100 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",ООО Онлайн Групп,https://spb.hh.ru/vacancy/136444132?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,100000.0,,RUB,100000.0
Middle Product Analyst (Fintech),Опыт 1-3 года Можно удалённо,ООО МКК Базис,https://spb.hh.ru/vacancy/136326555?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Младший Fullstack аналитик (бизнес + системный анализ),Опыт 1-3 года Можно удалённо,ООО ОТР,https://spb.hh.ru/vacancy/136222885?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
BI / Reporting Analyst (Junior+ / Middle),Опыт 1-3 года Можно удалённо,ТОО ECPK IT,https://spb.hh.ru/vacancy/136361266?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик,Опыт 1-3 года Можно удалённо,ТОО Торговая Компания Мегаполис-Казахстан,https://spb.hh.ru/vacancy/136149468?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Продуктовый аналитик/middle product analyst,Опыт 1-3 года Можно удалённо,ООО Онлайн-школа Фоксфорд,https://spb.hh.ru/vacancy/136257964?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Junior Системный аналитик,"от 70 000 ₽ за месяц, на руки Без опыта Можно удалённо",ООО Торговый Дом Максима,https://spb.hh.ru/vacancy/135953674?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,70000.0,,RUB,70000.0
Финансовый аналитик,"от 60 000 ₽ за месяц, до вычета налогов Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",Кортизол,https://spb.hh.ru/vacancy/136424370?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,60000.0,,RUB,60000.0
Аналитик-разработчик Power BI,Опыт 1-3 года Можно удалённо,ООО Тапир,https://spb.hh.ru/vacancy/136076692?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Бизнес-аналитик по интеграции и отчетности (ERP/BW/BI),Опыт 1-3 года Можно удалённо,ООО ИК СИБИНТЕК,https://spb.hh.ru/vacancy/135157181?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
