Должность,Зарплата,Компания,Ссылка,ЗП_От,ЗП_До,Валюта,ЗП_Средняя
Ведущий аналитик 1С:WMS Логистика,Опыт 1-3 года Можно удалённо Подработка,Компания КомЛайн,https://spb.hh.ru/vacancy/136291092?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Data Engineer,Опыт 1-3 года Можно удалённо,ИП Филиппович Вячеслав Васильевич,https://spb.hh.ru/vacancy/135782897?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Middle Системный аналитик (Сбер УБ),Опыт 1-3 года Можно удалённо,ООО ИЦ АЙ-ТЕКО,https://spb.hh.ru/vacancy/136219182?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Менеджер продукта / Системный аналитик 1С-Битрикс / Битрикс24,Опыт 1-3 года Можно удалённо,Пономарев Андрей Юрьевич,https://spb.hh.ru/vacancy/136217206?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Системный аналитик 1С,Опыт 1-3 года Можно удалённо,МТС Банк. IT,https://spb.hh.ru/vacancy/136200744?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик 1С Бухгалтерия,Опыт 1-3 года Можно удалённо,СберРешения,https://spb.hh.ru/vacancy/136226400?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
"1С аналитик, группа по разработке программных продуктов в области налогообложения",Опыт 1-3 года Можно удалённо,"Kept, Технологическая практика",https://spb.hh.ru/vacancy/134451946?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
"1С аналитик, группа по разработке программных продуктов в области налогообложения",Опыт 1-3 года Можно удалённо,"Kept, Технологическая практика",https://spb.hh.ru/vacancy/134451944?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
"1С аналитик, группа по разработке программных продуктов в области налогообложения",Опыт 1-3 года Можно удалённо,"Kept, Технологическая практика",https://spb.hh.ru/vacancy/134451943?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
"1С аналитик, группа по разработке программных продуктов в области налогообложения",Опыт 1-3 года Можно удалённо,"Kept, Технологическая практика",https://spb.hh.ru/vacancy/134451945?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик-консультант 1С (производство и планирование),Без опыта Можно удалённо,LAB Industries,https://spb.hh.ru/vacancy/135233056?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Performance Marketing Manager (Mobile / Subscription),Опыт 1-3 года Можно удалённо,ИП Фетисов Павел Александрович,https://spb.hh.ru/vacancy/136190112?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик - консультант 1С,Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц,ООО ТК ЯРВЕТ,https://spb.hh.ru/vacancy/136115983?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Бизнес-аналитик на проект внедрения 1С:ERP,Опыт 1-3 года Можно удалённо,Холдинг «Аэропорты Регионов»,https://spb.hh.ru/vacancy/135181625?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик 1С:ЗУП- Методолог,Опыт 1-3 года Можно удалённо,Эн+,https://spb.hh.ru/vacancy/136059290?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик 1С (трайб Core IT),Опыт 1-3 года Можно удалённо,ОТП Банк. IT,https://spb.hh.ru/vacancy/133546808?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик Отдела защиты конфиденциальной информации,Опыт 1-3 года Можно удалённо,АО Азиатско-Тихоокеанский Банк,https://spb.hh.ru/vacancy/135855917?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
DevOps-инженер (Mobile),Опыт 1-3 года Можно удалённо,АО Азиатско-Тихоокеанский Банк,https://spb.hh.ru/vacancy/135984865?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
ASO Mobile специалист | ASO менеджер,Без опыта Можно удалённо Выплаты: Два раза в месяц,Геймдев Клуб,https://spb.hh.ru/vacancy/135828131?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
ASO Mobile специалист | ASO менеджер,Без опыта Можно удалённо Выплаты: Два раза в месяц,Геймдев Клуб,https://spb.hh.ru/vacancy/135828132?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
